"Date","Open","High","Low","Close ","Adj Close ","Volume"
"Jan 19, 2024","7,271.34","7,277.98","7,170.81","7,227.40","7,227.40","137,359,600"
"Jan 18, 2024","7,198.85","7,267.08","7,185.38","7,252.97","7,252.97","158,921,700"
"Jan 17, 2024","7,248.01","7,252.46","7,162.48","7,200.63","7,200.63","202,143,100"
"Jan 16, 2024","7,231.64","7,268.18","7,210.03","7,242.79","7,242.79","130,295,500"
"Jan 15, 2024","7,254.04","7,281.26","7,206.31","7,224.00","7,224.00","132,959,600"
"Jan 12, 2024","7,242.37","7,271.87","7,205.76","7,241.14","7,241.14","152,196,500"
"Jan 11, 2024","7,253.46","7,277.50","7,219.96","7,219.96","7,219.96","190,523,900"
"Jan 10, 2024","7,187.58","7,259.60","7,152.88","7,227.30","7,227.30","152,699,300"
"Jan 9, 2024","7,299.78","7,311.64","7,180.16","7,200.20","7,200.20","152,570,700"
"Jan 8, 2024","7,362.05","7,393.13","7,275.17","7,283.58","7,283.58","140,602,400"
"Jan 5, 2024","7,376.29","7,403.58","7,350.62","7,350.62","7,350.62","163,057,200"
"Jan 4, 2024","7,290.06","7,371.23","7,280.41","7,359.76","7,359.76","155,674,900"
"Jan 3, 2024","7,316.11","7,321.88","7,275.87","7,279.09","7,279.09","159,498,400"
"Jan 2, 2024","7,268.40","7,323.59","7,245.57","7,323.59","7,323.59","121,359,000"
"Dec 29, 2023","7,307.11","7,309.78","7,259.68","7,272.80","7,272.80","123,172,800"
"Dec 28, 2023","7,266.57","7,308.21","7,262.25","7,303.89","7,303.89","123,036,000"
"Dec 27, 2023","7,256.16","7,293.52","7,239.66","7,245.92","7,245.92","124,953,000"
"Dec 22, 2023","7,225.62","7,248.55","7,218.17","7,237.52","7,237.52","111,284,900"
"Dec 21, 2023","7,222.09","7,229.29","7,173.01","7,209.62","7,209.62","144,347,800"
"Dec 20, 2023","7,207.18","7,237.97","7,196.24","7,219.67","7,219.67","142,313,600"
"Dec 19, 2023","7,116.55","7,187.85","7,112.82","7,187.85","7,187.85","155,446,500"
"Dec 18, 2023","7,181.43","7,192.89","7,092.03","7,119.52","7,119.52","239,480,200"
"Dec 15, 2023","7,183.15","7,215.94","7,169.43","7,190.99","7,190.99","207,901,200"
"Dec 14, 2023","7,134.04","7,191.16","7,115.45","7,176.02","7,176.02","228,648,300"
"Dec 13, 2023","7,110.08","7,124.48","7,045.94","7,075.34","7,075.34","182,766,500"
"Dec 12, 2023","7,104.97","7,134.22","7,082.88","7,125.31","7,125.31","255,110,500"
"Dec 11, 2023","7,139.28","7,153.12","7,045.17","7,088.79","7,088.79","490,104,800"
"Dec 8, 2023","7,134.62","7,201.63","7,123.04","7,159.60","7,159.60","270,037,600"
"Dec 7, 2023","7,087.40","7,134.62","7,041.01","7,134.62","7,134.62","235,230,700"
"Dec 6, 2023","7,100.85","7,140.16","7,085.81","7,087.40","7,087.40","272,847,500"
"Dec 5, 2023","7,093.06","7,117.58","7,047.63","7,100.85","7,100.85","319,577,000"
"Dec 4, 2023","7,060.04","7,149.24","7,060.04","7,093.60","7,093.60","308,380,600"
"Dec 1, 2023","7,080.06","7,083.86","7,022.77","7,059.91","7,059.91","265,990,100"
"Nov 30, 2023","7,036.09","7,109.61","7,036.09","7,080.74","7,080.74","259,745,500"
"Nov 29, 2023","7,041.07","7,070.19","7,020.01","7,036.09","7,036.09","167,555,900"
"Nov 28, 2023","7,013.41","7,067.14","7,010.83","7,041.07","7,041.07","167,633,600"
"Nov 27, 2023","7,009.63","7,061.83","7,008.81","7,013.41","7,013.41","163,462,500"
"Nov 24, 2023","7,004.48","7,049.54","7,000.10","7,009.63","7,009.63","181,146,200"
